user100;user26;2008-8-21 18:0:4
user100;user35;2009-11-9 2:18:56
user100;user36;2009-10-13 12:50:48
user100;user38;2009-10-3 8:10:53
user100;user53;2009-3-6 2:16:42
user100;user69;2009-1-27 6:58:0
user100;user70;2009-10-6 22:18:9
user10;user1;2009-4-5 11:34:39
user10;user27;2008-9-21 2:31:56
user10;user42;2008-6-21 2:49:12
user10;user52;2009-11-19 10:38:50
user10;user53;2008-3-18 23:55:5
user10;user58;2009-5-13 12:50:43
user10;user75;2009-1-25 2:43:32
user10;user76;2009-6-4 4:30:5
user10;user90;2008-1-20 13:36:35
user11;user12;2009-5-10 10:4:1
user11;user17;2008-4-15 21:38:17
user11;user2;2009-3-2 2:22:29
user11;user59;2008-12-9 18:25:56
user11;user65;2009-4-25 14:13:34
user11;user77;2009-6-24 14:1:2
user11;user80;2009-8-21 6:4:30
user12;user1;2009-9-6 15:18:38
user12;user23;2009-11-10 2:16:7
user12;user35;2008-12-21 5:5:0
user12;user45;2009-6-23 13:38:42
user12;user48;2008-8-25 1:32:4
user12;user60;2008-3-9 9:51:42
user12;user62;2008-5-23 11:47:50
user12;user69;2009-9-4 2:14:41
user12;user74;2008-9-17 10:13:50
user12;user9;2009-12-12 20:46:15
user12;user95;2009-2-9 9:32:14
user12;user98;2009-12-18 3:13:38
user13;user10;2008-8-21 6:43:48
user13;user19;2008-6-19 22:31:41
user13;user24;2009-2-24 17:32:50
user13;user32;2008-3-6 11:12:35
user13;user43;2008-10-23 6:13:32
user13;user46;2008-2-24 0:56:11
user13;user5;2009-4-15 20:32:12
user13;user54;2009-11-5 14:30:53
user13;user58;2008-2-18 17:50:12
user13;user61;2008-10-25 6:19:44
user13;user88;2008-12-17 18:0:2
user13;user90;2008-2-27 1:20:18
user13;user92;2009-1-23 22:20:41
user13;user97;2008-2-7 0:26:56
user13;user98;2008-1-23 13:17:27
user13;user99;2008-1-13 7:43:25
user14;user30;2009-2-23 11:41:22
user14;user43;2009-8-12 10:1:48
user14;user44;2009-6-23 15:20:16
user14;user56;2009-4-12 5:38:21
user14;user6;2009-7-2 10:54:33
user14;user65;2008-5-22 21:3:45
user14;user72;2009-12-13 15:45:8
user14;user78;2008-5-3 23:9:26
user14;user93;2008-10-22 22:59:25
user14;user98;2009-5-13 12:1:30
user15;user100;2008-6-17 17:2:1
user15;user13;2008-9-9 16:15:11
user15;user17;2009-1-7 2:56:27
user15;user19;2009-7-3 15:41:38
user15;user23;2009-10-18 2:41:56
user15;user46;2008-1-23 7:9:54
user15;user47;2009-11-11 18:24:37
user15;user53;2008-11-15 19:20:58
user15;user63;2009-1-11 16:13:49
user15;user64;2009-2-5 12:57:36
user15;user70;2008-8-9 8:36:10
user15;user78;2008-10-14 23:44:17
user15;user79;2009-6-21 8:22:0
user15;user8;2008-10-17 23:11:34
user15;user84;2008-5-17 17:56:27
user15;user89;2008-5-4 9:47:35
user15;user9;2009-8-19 22:12:50
user16;user12;2009-1-27 17:8:13
user16;user14;2008-9-15 14:23:24
user16;user27;2009-3-6 8:58:17
user16;user3;2009-11-23 8:40:42
user16;user32;2009-9-16 1:50:43
user16;user52;2008-2-7 19:6:45
user16;user60;2009-2-13 7:11:29
user16;user75;2009-11-17 11:55:32
user16;user77;2009-11-18 9:57:47
user16;user94;2009-6-13 19:45:46
user16;user98;2009-2-4 16:39:47
user17;user100;2008-10-25 5:54:29
user17;user24;2009-11-27 14:25:9
user17;user32;2008-2-12 2:50:27
user17;user36;2008-10-27 15:57:48
user17;user69;2009-4-5 1:8:33
user17;user72;2009-11-26 12:2:40
user17;user76;2008-10-15 1:19:56
user17;user80;2009-9-16 19:29:31
user17;user89;2008-6-3 7:50:19
user17;user91;2008-1-17 7:47:18
user17;user99;2008-7-4 22:56:14
user18;user12;2009-11-11 16:2:55
user18;user16;2008-9-3 17:10:21
user18;user27;2009-4-26 3:15:15
user18;user33;2009-4-19 1:39:32
user18;user37;2009-5-3 15:5:58
user18;user62;2008-6-15 7:8:14
user18;user79;2008-12-22 5:19:39
user18;user8;2008-5-18 0:23:20
user18;user81;2008-4-15 4:15:17
user18;user83;2009-8-1 11:4:42
user19;user27;2008-7-18 7:21:19
user19;user28;2009-3-14 20:18:48
user19;user41;2008-10-27 8:43:38
user19;user89;2008-6-24 14:11:25
user1;user11;2008-4-22 8:11:32
user1;user44;2009-6-27 10:7:29
user1;user70;2008-3-13 13:38:40
user1;user71;2008-5-23 9:14:32
user1;user73;2008-4-24 10:30:36
user1;user76;2009-9-21 11:24:14
